	coll	measure	mfw	Cluster Errors	Adjusted Rand Index	Homogeneity	Completeness	V Measure	Purity	Entropy
ELTeC-eng_cosine-d_0900	ELTeC-eng	cosine-d	0900	1.0	0.9118541033434651	0.9674374599615713	0.9722198882874836	0.9698227783355848	0.9666666666666667	0.03256254003842873
ELTeC-eng_burrows-d_0900	ELTeC-eng	burrows-d	0900	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_eders-d_0900	ELTeC-eng	eders-d	0900	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_1000	ELTeC-eng	cosine-d	1000	1.0	0.9118541033434651	0.9674374599615713	0.9722198882874836	0.9698227783355848	0.9666666666666667	0.03256254003842873
ELTeC-eng_burrows-d_1000	ELTeC-eng	burrows-d	1000	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_eders-d_1000	ELTeC-eng	eders-d	1000	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_1200	ELTeC-eng	cosine-d	1200	2.0	0.8263473053892215	0.9348749199231423	0.9441637558016164	0.9394963786564056	0.9333333333333333	0.06512508007685747
ELTeC-eng_burrows-d_1200	ELTeC-eng	burrows-d	1200	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_eders-d_1200	ELTeC-eng	eders-d	1200	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
ELTeC-eng_cosine-d_1400	ELTeC-eng	cosine-d	1400	1.0	0.9118541033434651	0.9674374599615713	0.9722198882874836	0.9698227783355848	0.9666666666666667	0.03256254003842873
ELTeC-eng_burrows-d_1400	ELTeC-eng	burrows-d	1400	3.0	0.6272493573264781	0.8580973755187417	0.9118725488847876	0.8841680643464175	0.8	0.14190262448125823
